# Mini-Monopoly board data file
# Format: slotNumber,slotName,price,isLand,side
# side values: 0 = GO/Decorative, 1 = South, 2 = West, 3 = North, 4 = East
# Lands are slots 1-22. Slot 0 is GO, slot 23 is Free Parking (decorative).
0,GO,0,false,0
1,Ping Chau,1000,true,1
2,Tai O,1200,true,1
3,Peng Chau,1300,true,1
4,Cheung Chau,1400,true,1
5,Lamma Island,1500,true,1
6,Sai Kung,1600,true,1
7,Tuen Mun,1700,true,2
8,Yuen Long,1800,true,2
9,Tai Po,1900,true,2
10,Sha Tin,2000,true,2
11,Ma On Shan,2100,true,2
12,Tsing Yi,2200,true,2
13,Kwun Tong,2300,true,3
14,Mong Kok,2500,true,3
15,Tsim Sha Tsui,2700,true,3
16,Causeway Bay,2800,true,3
17,Wan Chai,2900,true,3
18,Admiralty,3000,true,3
19,Central,3200,true,4
20,The Peak,3300,true,4
21,Mid-Levels,3400,true,4
22,Repulse Bay,3500,true,4
23,Free Parking,0,false,0
